"objectid","poi_id","kategorie","name","anzahl_pp","markierung","sicherheit","dach","signalisation","bemerkung","gebuehr","oeffentlicher_grund","geometry"
"8960","vap8960","Zweirad","Velo","150","","","","","beim Zürcher HB","0","öffentlicher Grund","POINT (2682983 1248195.8)"
"3655","vap3655","Zweirad","Velo","36","","","","","Bahnhof Seebach (Mietboxen)","gebührenpflichtig","öffentlicher Grund","POINT (2683507 1252555.9)"
"8329","vap8329","Zweirad","Velo","48","","","","","","0","öffentlicher Grund","POINT (2679309.8 1250414.5)"
"8328","vap8328","Zweirad","Velo","30","","","","","","0","öffentlicher Grund","POINT (2679325 1250417.2)"
"8327","vap8327","Zweirad","Velo","17","","","","","","0","öffentlicher Grund","POINT (2679556.2 1250384)"
"8344","vap8344","Zweirad","Velo","42","","","","","bei Tramwendeschlaufe","0","öffentlicher Grund","POINT (2678692.8 1251051)"
"6728","vap6728","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2681377.2 1246913.9)"
"8342","vap8342","Zweirad","Velo","40","","","","","bei Tramwendeschlaufe Auzelg","0","öffentlicher Grund","POINT (2685286.8 1252390.4)"
"8321","vap8321","Zweirad","Velo","18","","","","","","0","öffentlicher Grund","POINT (2684170.8 1252441.2)"
"8653","vap8653","Zweirad","Velo","20","","","","","bei Turnhalle","0","öffentlicher Grund","POINT (2685905.5 1250701.8)"
"8652","vap8652","Zweirad","Velo","4","","","","","beim Friedhof","0","öffentlicher Grund","POINT (2685796 1250863.5)"
"104936","vap104936","Zweirad","Velo","32","","","","","","0","öffentlicher Grund","POINT (2683740.5 1250195)"
"104581","vap104581","Zweirad","Velo","5","","","","","","0","öffentlicher Grund","POINT (2684350.8 1245826.8)"
"8649","vap8649","Zweirad","Velo","6","","","","","17.10.19 Baustelle","0","öffentlicher Grund","POINT (2686063.2 1250791.9)"
"104686","vap104686","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2681553.2 1243463.9)"
"104685","vap104685","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2681548 1243470.9)"
"104683","vap104683","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2681534.2 1243480.5)"
"104582","vap104582","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2684359 1245799.9)"
"104558","vap104558","Zweirad","Velo","5","","","","","","0","öffentlicher Grund","POINT (2682529.2 1247162.4)"
"104543","vap104543","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2682427.8 1247534.1)"
"5125","vap5125","Zweirad","Velo","14","","","","","","0","öffentlicher Grund","POINT (2682730.2 1248771.8)"
"104335","vap104335","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2682351.2 1248234.9)"
"104327","vap104327","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2680104.5 1248859.6)"
"8644","vap8644","Zweirad","Velo","120","","","","","","0","öffentlicher Grund","POINT (2679213.5 1249520.2)"
"8642","vap8642","Zweirad","Velo","60","","","","","Bahnhof Altstetten (Mietboxen)","gebührenpflichtig","öffentlicher Grund","POINT (2679226.8 1249520.6)"
"105016","vap105016","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2682491.5 1249308.2)"
"17664","vap17664","Zweirad","Velo","52","","","","","","0","öffentlicher Grund","POINT (2681485.8 1249145.1)"
"17663","vap17663","Zweirad","Velo","18","","","","","Solidapark","0","öffentlicher Grund","POINT (2679340.2 1249024.8)"
"153","vap153","Zweirad","Velo","28","","","","","","0","öffentlicher Grund","POINT (2683094.8 1247951.8)"
"104961","vap104961","Zweirad","Velo","5","","","","","","0","öffentlicher Grund","POINT (2683012.2 1250700.6)"
"104927","vap104927","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2683708.2 1252937.9)"
"104926","vap104926","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2683664.5 1252975.1)"
"104922","vap104922","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2683586 1253034.1)"
"104921","vap104921","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2683538.5 1253067.9)"
"104897","vap104897","Zweirad","Velo","35","","","","","","0","öffentlicher Grund","POINT (2683899.5 1248056.9)"
"104896","vap104896","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2683935 1248027.1)"
"104876","vap104876","Zweirad","Velo","50","","","","","","0","öffentlicher Grund","POINT (2678800 1250112.9)"
"104875","vap104875","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2680011.8 1249598)"
"104794","vap104794","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2680460.2 1246868.1)"
"12487","vap12487","Zweirad","Velo","20","","","","","","0","öffentlicher Grund","POINT (2679323 1248391.9)"
"12485","vap12485","Zweirad","Velo","50","","","","","","0","öffentlicher Grund","POINT (2679261.5 1248347.9)"
"12484","vap12484","Zweirad","Velo","108","","","","","","0","öffentlicher Grund","POINT (2679204.8 1248315.5)"
"12483","vap12483","Zweirad","Velo","100","","","","","","0","öffentlicher Grund","POINT (2679177.8 1248253)"
"2370","vap2370","Zweirad","Velo","18","","","","","ETH","0","öffentlicher Grund","POINT (2683666.2 1248109.5)"
"104654","vap104654","Zweirad","Velo","6","","","","","je 3 pro Haus","0","öffentlicher Grund","POINT (2682415.2 1243396.8)"
"105020","vap105020","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2682123.2 1250205.6)"
"104573","vap104573","Zweirad","Velo","12","","","","","","0","öffentlicher Grund","POINT (2683976.5 1246630.5)"
"14401","vap14401","Zweirad","Velo","180","","","","","Bahnhof Oerlikon (Andreasstrasse, Velostation)","gebührenpflichtig","öffentlicher Grund","POINT (2683573.5 1251888.2)"
"104307","vap104307","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2679591.8 1249270.6)"
"4171","vap4171","Zweirad","Velo","9","","","","","","0","öffentlicher Grund","POINT (2683984.5 1248382.5)"
"7600","vap7600","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2681722.8 1246975.4)"
"14131","vap14131","Zweirad","Velo","20","","","","","teilweise überdacht (10 Plätze)","0","öffentlicher Grund","POINT (2681767.8 1246576.4)"
"13491","vap13491","Zweirad","Velo","30","","","","","","0","öffentlicher Grund","POINT (2683684 1250260.6)"
"13798","vap13798","Zweirad","Velo","46","","","","","","0","öffentlicher Grund","POINT (2683709 1250204.9)"
"104915","vap104915","Zweirad","Velo","16","","","","","","0","öffentlicher Grund","POINT (2682910 1253583)"
"104914","vap104914","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2682893.2 1253526.1)"
"104890","vap104890","Zweirad","Velo","38","","","","","","0","öffentlicher Grund","POINT (2681087.2 1249352.8)"
"104759","vap104759","Zweirad","Velo","24","","","","","","0","öffentlicher Grund","POINT (2680676.5 1248250.9)"
"104658","vap104658","Zweirad","Velo","10","","","","","","0","öffentlicher Grund","POINT (2682408.2 1243459.4)"
"104621","vap104621","Zweirad","Velo","6","","","","","","0","öffentlicher Grund","POINT (2681661.5 1249704.4)"
"104561","vap104561","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2682150.5 1247108.2)"
"11202","vap11202","Zweirad","Velo","8","","","","","","0","öffentlicher Grund","POINT (2682680.5 1250278.6)"
"16363","vap16363","Zweirad","Velo","60","","","","","","0","öffentlicher Grund","POINT (2683876.8 1248146.4)"
"16365","vap16365","Zweirad","Velo","28","","","","","","0","öffentlicher Grund","POINT (2683934.2 1248069.5)"
"16362","vap16362","Zweirad","Velo","90","","","","","","0","öffentlicher Grund","POINT (2683816.8 1248143.8)"
