"adr_inter","adresse","adrzus_int","behindertenparkplatz","bemerkung","ccmail","da","datum","datum_cms","dep","editor","erforderlichedokumente","fax","hausnummer","hindernisfreiheit","infrastruktur","isbetriebsferien_gebaeude","isbetriebsferien_schalter","kategorie","mail","name","namenzus","objectid","oeffnungszeiten_gebaeude_di","oeffnungszeiten_gebaeude_do","oeffnungszeiten_gebaeude_fr","oeffnungszeiten_gebaeude_mi","oeffnungszeiten_gebaeude_mo","oeffnungszeiten_gebaeude_sa","oeffnungszeiten_gebaeude_so","oeffnungszeiten_schalter_di","oeffnungszeiten_schalter_do","oeffnungszeiten_schalter_fr","oeffnungszeiten_schalter_mi","oeffnungszeiten_schalter_mo","oeffnungszeiten_schalter_sa","oeffnungszeiten_schalter_so","ort","plz","poi_id","postadresse","publish_internet","strasse","suchen","tel","tel2","www","zahlungsmittel_internet","zahlungsmittel_schalter","zahlungsmittel_telefon","zvv_label","zvv_link","link_pls","anzahl_oeffentliche_pp","id","davon_behinderten_pp","davon_elektro_pp","davon_frauen_pp","davon_klein_pp","anzahl_mobility_pp","geometry"
"","Hardturmstrasse 126b","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Limmat West","","10000454","","","","","","","","","","","","","","","","","ph10000454","","","","","","","","","","","","","","30","10000454","0","0","0","0","0","POINT (2681108 1249750.2)"
"","Spirgartenstrasse 5","","1","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Lindenplatz","","10000523","","","","","","","","","","","","","","","","","ph10000523","","","","","","","","","","","","","","38","10000523","1","0","0","0","0","POINT (2679008 1249026.5)"
"","Hopfenstrasse 11","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Manesseparkhaus","","10000514","","","","","","","","","","","","","","","","","ph10000514","","","","","","","","","","","","","","16","10000514","0","0","0","0","0","POINT (2681735.8 1246593.2)"
"","Neumühlequai 42","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Marriot I","","10000408","","","","","","","","","","","","","","","","","ph10000408","","","","","","","","","","","","","","73","10000408","0","2","0","0","0","POINT (2683202.5 1248539.4)"
"","Wasserwerkstrasse 8","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Marriot II","","10000409","","","","","","","","","","","","","","","","","ph10000409","","","","","","","","","","","","","","29","10000409","0","0","0","0","0","POINT (2683246.8 1248559.1)"
"","Ellen-Widmann-Weg 2","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Max Bill-Platz","","59","","","","","","","","","","","","","","","","","ph059","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz","98","59","2","0","0","0","0","POINT (2683049.2 1252073.2)"
"","Limmattalstrasse 166","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Meierhofplatz 1","","10000427","","","","","","","","","","","","","","","","","ph10000427","","","","","","","","","","","","","","13","10000427","0","0","0","0","0","POINT (2680145 1250662.9)"
"","Hagenholzstrasse 50","","7","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Messe","","41","","","","","","","","","","","","","","","","","ph041","","","","","","","","","","","","","https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe","1992","41","7","0","24","24","0","POINT (2684128.8 1252050.9)"
"","Albisriederstrasse 367","","0","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros Albisrieden","","10000462","","","","","","","","","","","","","","","","","ph10000462","","","","","","","","","","","","","","25","10000462","0","0","0","0","0","POINT (2679060.2 1247656.1)"
"","Löwenstrasse 33","","2","","","","04.05.2020 01:51","","","","","","","","","","","Parkhaus","","Migros City","","10000527","","","","","","","","","","","","","","","","","ph10000527","","","","","","","","","","","","","","37","10000527","2","0","0","0","0","POINT (2682895 1247721.8)"
