NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fixed_geometry,district_id
8503091,12546,,,Zürich Giesshübel,Zürich,S-Bahn,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp4.gif"" ALT=""S-Bahn Haltestelle"">",4,,110,1,Bahn,"S4,SN4",2681837,1246322,POINT (47.36266174772128 8.521985378156671),3
8591041,3706,,,"Zürich, Althoos",Zürich,Bus,&nbsp;,0,,110,2,Bus,40,2681920,1251665,POINT (47.41070297115845 8.5240622833995),11
8573710,3042,,,"Zürich, Bahnhof Wiedikon",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"9,14,67,76,215,220,235,236,245,350",2681991,1247302,POINT (47.37145615531236 8.52420323204923),4
8591235,1445,,,"Zürich, Krematorium Nordheim",Zürich,Bus,&nbsp;,0,,110,2,Bus,40,2682243,1251076,POINT (47.4053656585656 8.528233118243305),10
8591082,488,,,"Zürich, Billoweg",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"7,N15",2682609,1245088,POINT (47.35146754575546 8.531976224305129),2
8591367,1366,,,"Zürich, Sihlpost / HB",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"3,14,31,N2,N8",2682739,1247828,POINT (47.37609318204853 8.534202852979533),4
8591380,3768,,,"Zürich, Staudenbühl",Zürich,Bus,&nbsp;,0,,110,2,Bus,40,2682758,1252712,POINT (47.42001413351241 8.535358196472872),11
8591369,2396,,,"Zürich, Sihlstrasse",Zürich,Tram,&nbsp;,2,,110,5,Tram,"2,9",2682773,1247403,POINT (47.37226672565478 8.534574410709309),1
8591282,1667,,,"Zürich, Museum für Gestaltung",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"4,6,13,N1,N4,N5,N7,N13",2682785,1248499,POINT (47.38212195245331 8.534935998010381),5
8591080,3774,,,"Zürich, Bhf. Wollishofen/Werft",Zürich,Bus,&nbsp;,0,,110,2,Bus,"161,165,N15",2682794,1244713,POINT (47.34807179465205 8.534355129064387),2
8591053,144,,,"Zürich, Bad Allenmoos",Zürich,Tram,&nbsp;,2,,110,5,Tram,11,2682963,1251145,POINT (47.4058958860625 8.537783705376652),6
8503449,786,,,"Zürich Enge, Schiffstation",Zürich,Schiff,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp1.gif"" ALT=""Schiffsstation"">",1,,110,4,Schiff,3734,2682997,1245920,POINT (47.3589013410894 8.537264989714444),2
8591335,2158,,,"Zürich, Schaffhauserplatz",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"7,11,14,15,33,N1,N6,N7",2683055,1249565,POINT (47.39167486913743 8.538708994917185),6
8591409,6584,,,"Zürich, Usteristrasse",Zürich,,&nbsp;,0,,,99,,,2683083,1247752,POINT (47.37536640080297 8.53874318121618),1
8587348,412,,,"Zürich, Bahnhofplatz/HB",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"3,14,31,N2,N8",2683122,1247962,POINT (47.37725008902943 8.539298519856215),1
8591276,1643,,,"Zürich, Milchbuck",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"7,9,10,14,69,72,83,N6",2683276,1250248,POINT (47.39778939873318 8.541762975424016),6
8591309,2030,,,"Zürich, Rathaus",Zürich,Tram,&nbsp;,2,,110,5,Tram,"4,15",2683401,1247353,POINT (47.37173787409392 8.542878984647993),1
8591193,1215,,,"Zürich, Hirschwiesenstrasse",Zürich,Tram,&nbsp;,2,,110,5,Tram,"10,14",2683403,1250526,POINT (47.40027346556526 8.543496940681162),6
8591183,1157,,,"Zürich, Helmhaus",Zürich,Tram,&nbsp;,2,,110,5,Tram,"4,15",2683435,1247168,POINT (47.37006979583794 8.543294615697283),1
8503007,13037,,,Zürich Seebach,Zürich,S-Bahn,"<IMG SRC=""../gisbrowser/_img/ZVV/HstTyp4.gif"" ALT=""S-Bahn Haltestelle"">",4,,110,1,Bahn,"S6,SN6",2683450,1252550,POINT (47.41846988118878 8.544497324869308),11
8591085,497,,,"Zürich, Birch-/Glatttalstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,"75,742,N6",2683560,1253545,POINT (47.42740418741856 8.546140929056341),11
