adr_inter,adresse,adrzus_int,behindertenparkplatz,bemerkung,ccmail,da,datum,datum_cms,dep,editor,erforderlichedokumente,fax,hausnummer,hindernisfreiheit,infrastruktur,isbetriebsferien_gebaeude,isbetriebsferien_schalter,kategorie,mail,name,namenzus,objectid,oeffnungszeiten_gebaeude_di,oeffnungszeiten_gebaeude_do,oeffnungszeiten_gebaeude_fr,oeffnungszeiten_gebaeude_mi,oeffnungszeiten_gebaeude_mo,oeffnungszeiten_gebaeude_sa,oeffnungszeiten_gebaeude_so,oeffnungszeiten_schalter_di,oeffnungszeiten_schalter_do,oeffnungszeiten_schalter_fr,oeffnungszeiten_schalter_mi,oeffnungszeiten_schalter_mo,oeffnungszeiten_schalter_sa,oeffnungszeiten_schalter_so,ort,plz,poi_id,postadresse,publish_internet,strasse,suchen,tel,tel2,www,zahlungsmittel_internet,zahlungsmittel_schalter,zahlungsmittel_telefon,zvv_label,zvv_link,link_pls,anzahl_oeffentliche_pp,id,davon_behinderten_pp,davon_elektro_pp,davon_frauen_pp,davon_klein_pp,anzahl_mobility_pp,geometry,fixed_geometry,district_id
,Fritz-Heeb-Weg 5,,5,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Accu,,60,,,,,,,,,,,,,,,,,ph060,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/accu.jsp?pid=accu,194,60,5,0,0,0,0,POINT (2683161 1252143.8),POINT (47.41485338945575 8.54059243676879),11
,Leutschenbachstrasse 37,,4,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Airgate,,10000450,,,,,,,,,,,,,,,,,ph10000450,,,,,,,,,,,,,,171,10000450,4,0,12,1,0,POINT (2684095.5 1252177.2),POINT (47.41503507265286 8.552980142180854),11
,Bachwiesenstrasse 141,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Albisriederdörfli,,10000394,,,,,,,,,,,,,,,,,ph10000394,,,,,,,,,,,,,,26,10000394,1,0,0,0,0,POINT (2679026.8 1247771),POINT (47.3760362252663 8.485044139517568),9
,Badenerstrasse 380c,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Albisriederplatz,,1411,,,,,,,,,,,,,,,,,ph1411,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/albisriederplatz.jsp?pid=albisriederplatz,67,1411,2,1,0,1,0,POINT (2680764.2 1248167.6),POINT (47.37939235509668 8.508118354630618),4
,Ueberlandstrasse 441,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Aldi,,10000515,,,,,,,,,,,,,,,,,ph10000515,,,,,,,,,,,,,,58,10000515,2,0,0,0,0,POINT (2687063.2 1251186),POINT (47.40573530013824 8.59210671928636),12
,Schärenmoosstrasse 77a,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Aldi Seebach,,10000488,,,,,,,,,,,,,,,,,ph10000488,,,,,,,,,,,,,,76,10000488,1,0,0,1,0,POINT (2684356.2 1252704.9),POINT (47.41974744778807 8.556533841703189),11
,Luggwegstrasse 107a,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Altstetten-Luggweg,,10000496,,,,,,,,,,,,,,,,,ph10000496,,,,,,,,,,,,,,44,10000496,0,0,0,0,0,POINT (2679439.8 1248779.1),POINT (47.3850528430549 8.490691096533956),9
,Albisriederstrasse 348,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,A-Park,,10000495,,,,,,,,,,,,,,,,,ph10000495,,,,,,,,,,,,,,74,10000495,3,2,0,0,0,POINT (2679133.5 1247728),POINT (47.37563670177217 8.486449218320525),9
,Badenerstrasse 565b,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Atrium 565,,10000526,,,,,,,,,,,,,,,,,ph10000526,,,,,,,,,,,,,,18,10000526,2,0,0,0,0,POINT (2679963 1248644.4),POINT (47.38377813701121 8.497595219573533),9
,Stadelhoferstrasse 42,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Bellevue-Garage,,10000502,,,,,,,,,,,,,,,,,ph10000502,,,,,,,,,,,,,,20,10000502,0,0,0,0,0,POINT (2683678.2 1246912.6),POINT (47.36774205129034 8.546466391528584),1
