bustop_id,busline_name
8503006,S9
8503006,SN9
8503006,S14
8503006,S15
8503006,S16
8503006,S19
8503006,S21
8503006,S24
8591406,9
8591406,10
8591406,39
8591127,14
8591127,768
8591127,N6
8591127,N7
8505333,
8591073,10
8591073,14
8591073,N6
8591048,75
8591048,742
8591048,N6
8591393,7
8591393,9
8591393,N11
8591294,10
8591294,11
8503653,3730
8503653,3732
8503653,3734
8591202,3
8591202,N16
8591202,N19
8591377,39
8591119,8
8591238,39
8505332,
8591199,3
8591199,8
8591199,N16
8591199,N19
8591413,307
8591435,13
8591435,80
8591435,N4
8591097,78
8591097,80
8591097,83
8591097,89
8591070,83
8591070,89
8591344,33
8591344,N14
8591896,4
8591275,38
8591331,33
8591331,67
8591331,N14
8591200,32
8591200,N1
8591253,31
8591253,N2
8591146,73
8591178,6
8591178,8
8591178,N13
8591190,9
8591190,14
8591190,N5
8591122,37
8591122,69
8591122,80
8591122,N8
8591209,32
8591209,89
8591209,N5
8591186,31
8591186,N2
8591405,10
8591405,13
8591405,89
8591405,N5
8591312,46
8591312,N8
8591308,76
8591370,70
8591370,N12
8591135,6
8591135,8
8591135,N13
8591403,61
8591403,62
8591403,N11
8591389,6
8591389,N17
8591421,25
8591442,6
8591442,39
8591442,N17
8503084,25
8591159,7
8591159,N11
8591438,91
8591396,751
8591396,N17
8591305,7
8591305,N11
8503094,S4
8503094,SN4
8591206,40
8503087,S4
8503087,SN4
8591437,13
8591437,N4
8591079,2
8591079,3
8591079,N14
8591184,8
8591184,32
8591277,31
8591277,32
8591277,N2
8591277,N8
8503015,S24
8591322,32
8591066,33
8591066,46
8591086,32
8591086,N1
8591219,31
8591219,N2
8591219,N8
8591267,64
8591101,11
8591101,15
8591101,32
8591101,40
8591101,69
8591101,72
8591101,83
8591101,N1
8591101,N7
8591081,7
8591081,70
8591081,184
8591081,185
8591081,N15
8591307,11
8591307,32
8591307,40
8591307,N1
8591307,N7
8591387,161
8591387,165
8591387,N15
8591088,80
8591291,32
8591291,46
8591246,11
8591246,15
8591289,64
8591289,75
8591289,N6
8591368,4
8591368,6
8591368,13
8591368,N1
8591368,N4
8591368,N5
8591368,N7
8591368,N13
8591357,161
8591357,165
8591357,N15
8591067,7
8591067,10
8591067,11
8591067,13
8591067,N1
8591067,N4
8591067,N6
8591272,64
8591272,75
8591272,80
8591272,N6
8591272,N7
8530822,3734
8591174,6
8591174,7
8591174,10
8591174,15
8591174,N6
8576193,2
8576193,4
8576193,5
8576193,8
8576193,9
8576193,11
8576193,15
8576193,912
8576193,916
8576193,N1
8576193,N2
8576193,N4
8576193,N5
8576193,N6
8576193,N7
8576193,N8
8576193,N11
8576193,N12
8576193,N13
8576193,N14
8576193,N15
8576193,N16
8576193,N17
8576193,N18
8576193,N19
8591355,14
8591355,40
8591355,75
8591355,768
8591355,N6
8591355,N7
8576195,2
8576195,4
8576195,912
8576195,916
8576195,N18
8591332,10
8591332,14
8591332,N6
8591433,9
8591433,10
8591433,N11
8591354,14
8591354,40
8591354,75
8591354,742
8591354,768
8591354,N6
8591354,N7
8576194,912
8576194,916
8576197,2
8576197,4
8576197,912
8576197,916
8576197,N18
8591303,5
8591303,6
8591303,N17
8591412,5
8591412,6
8591412,N17
8591078,33
8576199,2
8576199,4
8576199,33
8576199,912
8576199,916
8576199,N18
8591189,39
8591087,751
8591180,11
8591260,35
8591215,307
8591361,N2
8591037,67
8591037,80
8591037,N13
8591167,6
8591167,78
8591167,N13
8591165,2
8591371,46
8591371,N4
8591281,61
8591138,2
8576263,32
8576263,491
8576263,N1
8591243,67
8591250,37
8591145,72
8591121,13
8591121,N4
8591083,
8591346,80
8591148,75
8591148,N11
8591142,11
8591261,31
8591261,701
8591261,703
8591261,704
8591261,N16
8591261,N19
8591065,7
8591065,12
8591065,743
8591065,744
8591065,745
8591065,751
8591065,752
8591065,754
8591065,760
8591065,N11
8591065,N17
8591399,91
8591400,91
8591160,32
8591160,40
8591160,61
8591160,62
8591160,80
8591160,N1
8591419,38
8591419,69
8591218,2
8591218,3
8591218,32
8591218,N14
8591365,89
8591365,200
8591365,210
8591365,444
8591365,445
8591323,33
8591323,46
8591323,72
8591323,83
8591323,N1
8591323,N7
8591323,N8
8591280,80
8591266,40
8591410,70
8591410,N12
8503086,S4
8503086,SN4
8591098,66
8591098,72
8591077,72
8591108,80
8591439,7
8591439,184
8591439,185
8591439,N12
8591293,61
8591293,62
8591304,7
8591304,70
8591304,184
8591304,185
8591234,75
8591234,N6
8591144,40
8591103,40
8591103,75
8591103,N6
8591316,7
8591316,10
8591316,11
8591316,13
8591379,11
8591379,14
8591379,46
8503499,24
8591063,10
8591063,14
8591063,75
8591063,768
8591063,781
8591063,787
8591063,N6
8591063,N78
8594255,39
8591123,6
8591123,9
8591123,10
8591123,N11
8503003,SN1
8503003,S3
8503003,S5
8503003,SN5
8503003,S6
8503003,SN6
8503003,S7
8503003,SN7
8503003,S9
8503003,SN9
8503003,S11
8503003,S12
8503003,S15
8503003,S16
8591171,23
8591375,31
8591124,768
8591124,N7
8591140,75
8591192,33
8591318,781
8591318,787
8591318,N78
8591364,11
8591364,31
8576200,2
8576200,4
8576200,33
8576200,912
8576200,916
8576200,N18
8591040,77
8591231,33
8591233,3
8591233,8
8591233,31
8591233,33
8591233,701
8591233,703
8591233,704
8591233,N16
8591233,N19
8591274,2
8591274,N2
8591328,46
8591311,67
8591311,78
8591311,80
8591311,N13
8591036,3
8591036,80
8591036,N13
8591197,80
8591197,89
8591197,304
8591197,308
8591254,83
8591254,89
8591046,61
8591151,32
8591151,73
8591151,89
8591151,N5
8591074,6
8591074,8
8591074,N13
8591045,38
8591390,9
8591390,14
8591390,N5
8591182,32
8591182,89
8591182,N5
8591084,76
8591416,38
8591416,69
8591210,70
8591210,N12
8591177,8
8591177,31
8591177,33
8591177,72
8591177,83
8591177,N2
8591177,N5
8591177,N8
8591132,39
8591104,11
8591347,94
8591347,787
8591347,N78
8591263,9
8591263,94
8591263,787
8591263,N11
8591263,N78
8591245,5
8591245,10
8591245,13
8591245,89
8591245,N5
8591417,13
8591417,N4
8591169,8
8591169,31
8591169,N2
8591169,N8
8591414,66
8591414,72
8591425,69
8591216,66
8591216,72
8591216,N12
8591381,2
8591381,3
8591381,8
8591381,9
8591381,14
8591381,N14
8591111,184
8591111,185
8591111,N12
8591106,7
8591106,70
8591106,184
8591106,185
8591106,N12
8591217,66
8591404,7
8591404,10
8591404,13
8591383,64
8591317,5
8591317,161
8591317,165
8591317,N12
8591317,N15
8591342,75
8591342,N6
8591286,66
8591092,64
8591092,75
8591092,N6
8591237,11
8591237,14
8503651,3730
8503651,3732
8503651,3734
8591373,7
8591373,15
8591373,N6
8591244,9
8591244,10
8591244,N11
8503500,24
8591287,3
8591287,31
8503059,8
8503059,11
8503059,15
8503059,S18
8503059,SN18
8591242,39
8591109,912
8591109,916
8591420,7
8591420,9
8591420,75
8591420,N11
8591397,6
8591397,33
8591397,N17
8503083,3
8503083,8
8503083,25
8503083,N16
8503083,N19
8530812,11
8530812,31
8530812,33
8530812,77
8530812,S18
8530812,SN18
8576182,2
8576182,4
8576182,33
8576182,910
8576182,912
8576182,916
8576182,N18
8591440,77
8591310,35
8591310,67
8591310,78
8591310,N13
8591141,35
8591051,2
8576241,46
8576241,89
8576241,N4
8591258,2
8591258,35
8591258,78
8591258,80
8591258,N13
8591423,13
8591423,80
8591423,N4
8591134,83
8591134,89
8591363,3
8591434,80
8591434,89
8591434,304
8591434,308
8591431,38
8591431,46
8591431,N4
8503054,S10
8591348,38
8591176,6
8576240,13
8576240,38
8576240,46
8576240,80
8576240,N4
8576240,N8
8591150,73
8591208,67
8591208,89
8591252,2
8591201,69
8591201,80
8591201,N8
8591043,38
8591034,10
8591034,13
8591131,6
8591131,8
8591131,N13
8591075,72
8591075,N5
8591278,70
8591278,151
8591278,N12
8591447,32
8591447,72
8591447,N5
8591049,11
8591049,12
8591049,79
8591429,11
8591429,SN18
8591050,79
8591264,9
8591264,N11
8591315,11
8591315,S18
8591315,SN18
8591424,31
8591424,N16
8591424,N19
8591102,91
8591228,31
8591228,N16
8591161,80
8595899,40
8595899,80
8503091,S4
8503091,SN4
8591041,40
8573710,9
8573710,14
8573710,67
8573710,76
8573710,215
8573710,220
8573710,235
8573710,236
8573710,245
8573710,350
8591235,40
8591082,7
8591082,N15
8591367,3
8591367,14
8591367,31
8591367,N2
8591367,N8
8591380,40
8591369,2
8591369,9
8591282,4
8591282,6
8591282,13
8591282,N1
8591282,N4
8591282,N5
8591282,N7
8591282,N13
8591080,161
8591080,165
8591080,N15
8591053,11
8503449,3734
8591335,7
8591335,11
8591335,14
8591335,15
8591335,33
8591335,N1
8591335,N6
8591335,N7
8591409,
8587348,3
8587348,14
8587348,31
8587348,N2
8587348,N8
8591276,7
8591276,9
8591276,10
8591276,14
8591276,69
8591276,72
8591276,83
8591276,N6
8591309,4
8591309,15
8591193,10
8591193,14
8591183,4
8591183,15
8503007,S6
8503007,SN6
8591085,75
8591085,742
8591085,N6
8591382,10
8591382,11
8591382,14
8591382,61
8591382,62
8591382,75
8591382,94
8591382,N6
8591382,N11
8591112,75
8591411,33
8591239,3
8591239,5
8591239,9
8591239,31
8591273,11
8591273,61
8591273,62
8591273,94
8591273,N11
8591376,33
8591156,23
8591156,39
8530473,23
8530473,39
8576198,2
8576198,4
8576198,33
8576198,912
8576198,916
8576198,N18
8591230,5
8591230,6
8591230,33
8591230,751
8591230,N17
8591196,33
8591137,31
8591137,33
8591113,61
8591113,62
8591113,94
8591113,N11
8591044,35
8591130,35
8591408,67
8591408,80
8591408,N13
8591056,31
8591056,35
8591056,78
8591056,80
8591056,83
8591056,89
8591056,N2
8591056,N13
8591126,3
8591126,67
8591222,2
8591222,83
8591222,89
8591446,13
8591446,80
8591446,N4
8591401,80
8591223,38
8503053,S10
8576262,32
8576262,37
8576262,61
8576262,62
8576262,491
8576262,N1
8591338,37
8591039,13
8591039,N4
8591407,62
8591407,N1
8503020,SN1
8503020,S3
8503020,S5
8503020,SN5
8503020,S6
8503020,SN6
8503020,S7
8503020,SN7
8503020,S9
8503020,SN9
8503020,S11
8503020,S12
8503020,S15
8503020,S16
8503020,S21
8591133,77
8591120,77
8591221,31
8591221,N16
8591221,N19
8591212,77
8591325,7
8591325,N11
8591443,751
8591115,31
8591115,N16
8591115,N19
8591300,91
8591445,31
8591445,N16
8591147,701
8591147,703
8591147,704
8591147,N16
8591147,N19
8591259,2
8591259,3
8591259,N14
8503051,S10
8591341,9
8591341,14
8591341,67
8591341,72
8591341,76
8591341,215
8591341,220
8591341,235
8591341,236
8591341,245
8591341,350
8591341,N5
8591061,70
8591061,N12
8591247,46
8591247,N8
8591240,32
8591058,5
8591058,7
8591058,N15
8591296,46
8516661,
8591105,2
8591105,5
8591105,8
8591105,9
8591105,11
8591105,161
8591105,165
8591062,64
8591062,80
8591062,N7
8580449,11
8580449,61
8580449,62
8580449,94
8580449,768
8580449,781
8580449,787
8580449,N11
8580449,N78
8591386,39
8591256,10
8591256,11
8591256,781
8591256,787
8591256,N78
8591220,5
8591220,9
8591172,781
8591172,787
8591172,N78
8591175,61
8591175,62
8591175,94
8591175,N11
8591094,33
8591094,77
