objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
22899,vap22899,Zweirad,Beide,29,,,,,,0,öffentlicher Grund,POINT (2679783.5 1246841.9),POINT (47.3675892267738 8.494897057901603),9
22905,vap22905,Zweirad,Beide,12,,,,,,0,öffentlicher Grund,POINT (2680061.2 1246489),POINT (47.36438175828069 8.498510046107166),3
23210,vap23210,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2679930.5 1246511.1),POINT (47.36459637759 8.496783937813795),3
23211,vap23211,Zweirad,Beide,70,,,,,,0,öffentlicher Grund,POINT (2680057.2 1246563.2),POINT (47.36504955907792 8.498470364474882),3
23212,vap23212,Zweirad,Beide,11,,,,,,0,öffentlicher Grund,POINT (2680183.5 1246630.8),POINT (47.36564216311332 8.500154300579863),3
23214,vap23214,Zweirad,Beide,80,,,,,,0,öffentlicher Grund,POINT (2680075 1246748.9),POINT (47.36671748198618 8.49873919158334),3
104901,vap104901,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2683222 1248688.9),POINT (47.38377473380823 8.540757691090612),6
23217,vap23217,Zweirad,Beide,41,,,,,,0,öffentlicher Grund,POINT (2680065.2 1246802.9),POINT (47.36720431924696 8.498619121078335),3
23219,vap23219,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2680033.2 1246851.8),POINT (47.36764798601652 8.498204261050722),3
100672,vap100672,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682970 1252069.4),POINT (47.41420838642276 8.538048012218553),11
3542,vap3542,Zweirad,Beide,14,,,,,,0,öffentlicher Grund,POINT (2683085.2 1247239),POINT (47.3707525216542 8.538677090825662),1
104563,vap104563,Zweirad,Beide,16,,,,,,0,öffentlicher Grund,POINT (2682316.8 1247422.4),POINT (47.3724983430908 8.528538478059087),4
104568,vap104568,Zweirad,Beide,32,,,,,,0,öffentlicher Grund,POINT (2683719 1247236),POINT (47.37064532622088 8.547066958545608),1
